"('meta',_'cp')","('meta',_'nam')","('meta',_'ky')","('chi_tieu_co_cau_nguon_von',_'(vay_nh+dh)/vcsh')","('chi_tieu_co_cau_nguon_von',_'no/vcsh')","('chi_tieu_co_cau_nguon_von',_'tscđ_/_von_csh')","('chi_tieu_co_cau_nguon_von',_'von_csh/von_đieu_le')","('chi_tieu_hieu_qua_hoat_đong',_'vong_quay_tai_san')","('chi_tieu_hieu_qua_hoat_đong',_'vong_quay_tscđ')","('chi_tieu_hieu_qua_hoat_đong',_'so_ngay_thu_tien_binh_quan')","('chi_tieu_hieu_qua_hoat_đong',_'so_ngay_ton_kho_binh_quan')","('chi_tieu_hieu_qua_hoat_đong',_'so_ngay_thanh_toan_binh_quan')","('chi_tieu_hieu_qua_hoat_đong',_'chu_ky_tien')","('chi_tieu_hieu_qua_hoat_đong',_'vong_quay_hang_ton_kho')","('chi_tieu_kha_nang_sinh_loi',_'bien_ebit_(%)')","('chi_tieu_kha_nang_sinh_loi',_'bien_loi_nhuan_gop_(%)')","('chi_tieu_kha_nang_sinh_loi',_'bien_loi_nhuan_rong_(%)')","('chi_tieu_kha_nang_sinh_loi',_'roe_(%)')","('chi_tieu_kha_nang_sinh_loi',_'roic_(%)')","('chi_tieu_kha_nang_sinh_loi',_'roa_(%)')","('chi_tieu_kha_nang_sinh_loi',_'ebitda_(ty_đong)')","('chi_tieu_kha_nang_sinh_loi',_'ebit_(ty_đong)')","('chi_tieu_kha_nang_sinh_loi',_'ty_suat_co_tuc_(%)')","('chi_tieu_thanh_khoan',_'chi_so_thanh_toan_hien_thoi')","('chi_tieu_thanh_khoan',_'chi_so_thanh_toan_tien_mat')","('chi_tieu_thanh_khoan',_'chi_so_thanh_toan_nhanh')","('chi_tieu_thanh_khoan',_'kha_nang_chi_tra_lai_vay')","('chi_tieu_thanh_khoan',_'đon_bay_tai_chinh')","('chi_tieu_đinh_gia',_'von_hoa_(ty_đong)')","('chi_tieu_đinh_gia',_'so_cp_luu_hanh_(trieu_cp)')","('chi_tieu_đinh_gia',_'p/e')","('chi_tieu_đinh_gia',_'p/b')","('chi_tieu_đinh_gia',_'p/s')","('chi_tieu_đinh_gia',_'p/cash_flow')","('chi_tieu_đinh_gia',_'eps_(vnd)')","('chi_tieu_đinh_gia',_'bvps_(vnd)')","('chi_tieu_đinh_gia',_'ev/ebitda')"
VNM,2024,5,0.2607159255,0.5217683564,0.34694601202730957,1.7308695702679442,1.1470704479,4.8955687739,28.363734725366623,59.9545442453,38.7260736706,127.04435264126663,6.087945536,0.1684058469971343,0.4141970777608894,0.1520219108246915,0.2936214847,0.2289344259,0.1743798413,12499712332272,10404552687331,0.068503937,2.0343755129,0.1206525856,0.4583509412,-37.235641130152786,1.5217683563782505,132712170757500,2089955445,14.1298749428,4.1114319744,2.1480505885,13.701530721,4494.024204544705,15444.7405174252,11.1810225964
VNM,2023,5,0.2482376785,0.503847326,0.3622950154172328,1.6759086347637426,1.1935801024,4.9094668502,28.54429291624184,59.7365769092,41.2133044347,129.49417426014185,6.1101592841,0.1618551417156377,0.40657897209918087,0.14699307320127103,0.2883642068,0.224714239,0.1754480074,11825606239806,9771019375334,0.0607255521,2.0967693373,0.1699791775,0.55097126,-27.594357068520146,1.5038473260455885,132503175213000,2089955445,14.9319333099,4.1803309399,2.1948907661,16.7992975355,4245.933777245667,15166.2633679499,11.6735986553
VNM,2022,5,0.15233752820000002,0.4773859832,0.362720003205202,1.5702018161963736,1.1777480203,4.872549317,27.400178761877104,62.6603263695,43.0098651625,133.0703702938771,5.825057435,0.1626715152241553,0.3985778400709531,0.14203730374086423,0.2706406603,0.2583644252,0.1672841533,11848623437435,9753173578758,0.0569526627,2.0616350885,0.150316128,0.5488158845,-58.740224824859304,1.4773859832302256,141280988082000,2089955445,16.5900182001,4.7331818571,2.3564014542,16.005054478,4074.7393513654547,14282.1471984925,12.1460694467
VNM,2021,5,0.2659301461,0.4876494693,0.3544367660715986,1.7153530394703702,1.197253166,4.5872163153,25.587886397272126,62.0259844593,39.0546254806,126.66849633717212,5.8846305009,0.1930479298693473,0.43136345612540805,0.17289267058238944,0.3031049185,0.2595632465,0.2069962972,13881656397698,11760318662918,0.0505913272,2.1155981049,0.1376619552,0.4787614693,-132.43737717483387,1.4876494693217162,159045609364500,2089955445,15.1004942006,4.8074318762,2.6107647694,16.8623892218,5039.570161697395,15829.6574886796,11.9693963637
VNM,2020,5,0.2273995536,0.4394241606,0.4117382690980075,1.6099444756259864,1.2806781666,4.1489939212,23.40473149101013,56.7975784082,39.0948461549,119.29715605411013,6.426330316,0.20562942606585025,0.4639561773357931,0.18611046325709055,0.3502436416,0.2981440536,0.2383476069,14471841931010,12262975309258,0.0474537037,2.0872767259,0.1486258753,0.5136003542,-85.26704338115229,1.439424160640475,180572150448000,2089955445,16.269319556,5.7695976024,3.0278905994,17.7376371219,5310.6093160608025,14975.0478203376,12.8487325488
VNM,2019,5,0.18826811,0.5034640508,0.5009388306793352,1.4225784226880491,1.3725083491,3.9858688829,22.431443822230094,64.6318013457,46.8759233922,133.9391685601301,5.6473747041,0.2163150879893858,0.4718235506991234,0.18788225091530822,0.3778814213,0.3460364774,0.257869958,14130532456354,12182459680820,0.0502232143,1.7116817137,0.184613656,0.4964048992,-111.94552307374903,1.5034640508374124,156055226252800,1741687793,16.360582405,5.6738981887,2.770959304,13.6771431725,6075.242482904053,15791.6122248972,11.2426397482
VNM,2018,5,0.0567783687,0.422312946,0.5087421767241145,1.2570301129997057,1.45937662,4.3847916138,24.622807164122523,62.5489903315,51.9527621623,139.12455965792253,5.8354259288,0.21331342039519313,0.468236176223692,0.19457575598291318,0.4079129723,0.4070164254,0.2839593091,12838801713219,11212169330868,0.0502232143,1.9323820666,0.1847593807,0.6208144377,-218.27394837907943,1.4223129460427986,156055226252800,1741687793,16.9246517294,6.053078261,2.9689771087,19.1708407612,5872.051921457085,14802.3858500299,12.1357480345
VNM,2017,5,0.034264606200000006,0.4521524267,0.44440511900771673,1.1422759212869726,1.5938886325,5.3925091749,20.971604768187543,58.4103791887,44.4395238685,123.82150782538753,6.2488894109,0.22393738332382315,0.4747969042263704,0.201713325401311,0.4449388953,0.4681337569,0.3215085764,12729875129644,11430004975744,0.0558035714,1.9917914424,0.1379489048,0.5883117667,-388.26632997739756,1.4521524267146337,130050227238400,1451453429,12.6315517607,5.5635823958,2.5479523106,13.5446489537,7093.348600195425,16104.7313807986,10.1831276026
VNM,2016,5,0.0886642637,0.3111989118,0.3713769490209579,1.0720778446348649,1.6460410309,5.6599707078,17.13579856157489,62.4221375375,35.4836315518,115.0415676508749,5.8472845436,0.22489261773795613,0.47731640814974763,0.19981752601316238,0.4315881955,0.4372925526,0.3289078465,11714538490980,10523701483046,0.0669642857,2.891805423,0.1701209385,0.6140520038,-226.3193242906912,1.3111989118189844,130050227238400,1451453429,13.9086256136,5.866425492,2.7791871604,15.5010270816,6442.045568644284,15273.3551499026,11.1873328038
VNM,2015,5,0.105701958,0.3132425248,0.3925715840470759,1.0011656371739064,1.5054142186,4.9176785208,19.083135318017533,56.6650095056,31.3550710001,107.10321582371753,6.441364842,0.21886481008459585,0.4057449832567316,0.19394548545707843,0.3828869893,0.3852951424,0.2919682914,9869261296801,8772185744062,0.0669642857,2.7866409939,0.3138847481,0.7611411513,-280.4635669861691,1.313242524766115,107579332492800,1200662193,15.3585925281,5.1989362429,2.6840893321,14.0458558632,6474.268679869226,17234.2948275194,10.9495711308
VNM,2014,5,0.1002166598,0.3033443012,0.4108881955762346,0.9416603910355132,1.4419413076,4.1249517839,20.20724210725211,52.3743539472,29.8007886175,102.38238467195211,6.9690597113,0.19708176510205655,0.3248122034089133,0.17303846407965995,0.3260540954,0.3244153144,0.2495113092,7944784725362,6912054723323,0.0446428571,2.8346222445,0.4094215142,0.9186745234,-174.62736895441083,1.3094394305189416,89657469350400,1000641399,14.7734899224,4.5557002966,2.5563820053,16.8265813192,6064.917664715769,19667.6677934,11.312509967
VNM,2013,5,0.031189170699999998,0.3024743689,0.5083025257972971,0.8395149933649901,1.4538978593,3.6494450057,18.66102728051362,61.9003368132,38.9260727209,119.48743681461363,5.8965753466,0.23571731226850803,0.36133484804360166,0.2111285555307496,0.3955456012,0.4073535158,0.3069593549,8081554235066,7295121311916,0.0535714286,2.626692044,1.4242073538,1.9746921288,-70127.1587742834,1.3037774920604717,74722439321600,833955796,11.435707192,4.2587834388,2.4144043409,11.9522563512,7835.1079207968,21038.8720836026,8.9540628326
